workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Pin,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,PinId,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the pin you just observed.",What is your overall impression of the pin?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,"After observing the pin, what is your overall impression of the item shown in the image above?",How much do you think the pin creator favors the item shown in the image above?,How likely do you think there is a relationship between the pin creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the pin you observed states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
595,17,17,4,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,About Once A Day,Several Times A Day,Several Times A Day,Never,About Once A Day,A Few Times A Week,A Few Times A Week,Several Times A Day,Every Few Weeks,Never,52,69,697283954778000593,9,78,it was of a yellow bar of soap in a soap holder,Somewhat Positive,I liked the products visual appeal.,45,123,Extremely Positive,Strongly Favors,Neutral,The person who pinned it may be the person selling the item on Amazon,64,196,when an item is sold the person who posted receives a portion of the sale.,52,248,27,275,1967,Female,Associate's Degree,"$35,000 to $49,999",16,291
596,6,6,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,A Few Times A Week,Less Often,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,Every Few Weeks,Less Often,Less Often,A Few Times A Week,36,42,697283954778000593,7,49,A bar of soap on a nice rack in a shower.,Somewhat Positive,"It looked nice, although there was a weird yellow tone to the whole picture.",32,81,Somewhat Positive,Somewhat Favors,Neutral,The photo on the pin and the photo for the amazon posting is different with different lighting.,40,128,It sounds like garbage.  Looks like a computer or typist error.  Possibly in translation.,29,157,10,167,1991,Male,Master's Degree,"$25,000 to $34,999",11,178
597,18,18,1,4,Yes,No,Yes,Yes,Yes,No,A Few Times A Week,Never,A Few Times A Week,A Few Times A Week,About Once A Day,Never,Less Often,Never,Less Often,Less Often,Never,Never,61,79,1548181098801468,15,94,LADY HOLDING UP A JACKET WITH HIGH HEALS ON.,Neutral,"ITS JUST A BLAND BLANKET, SOME FEET WITH SHOES ON THEM, AND FINGERS",69,163,Neutral,Moderately Favors,Somewhat Likely,"ITS STILL JUST A BLAND BLANKET, IF SHE'S SELLING THEN THATS FINE TO",75,256,,,,21,277,1969,Male,Some College,"$35,000 to $49,999",20,297
598,9,9,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Every Few Weeks,A Few Times A Week,Several Times A Day,A Few Times A Week,About Once A Day,Less Often,Less Often,Less Often,A Few Times A Week,Never,Never,Never,42,51,697283954778000593,13,64,It looks like a soap holder. It doesn't have many pins.,Somewhat Positive,"It's not really my style, but it does look nice.",27,91,Neutral,Moderately Favors,Extremely Likely,There is a good chance that it's an ad.,27,131,Affiliate link. They get money when the link is clicked.,15,146,20,166,1985,Male,Bachelor's Degree,"$75,000 to $99,999",14,180
599,16,16,3,1,No,Yes,Yes,No,Yes,Yes,About Once A Day,Every Few Weeks,Never,Not Sure,Several Times A Day,About Once A Day,Every Few Weeks,Every Few Weeks,Never,Never,Never,About Once A Day,38,54,697283954778000593,10,64,It was a picture of a soap holder. It was categorized as DIY. The soap holder was black with red trim and had a yellow bar of soap in it.,Neutral,It didn't particularly interest me.,140,204,Neutral,Moderately Favors,Somewhat Likely,"People usually only promote things when they have a monetary incentive to do so. In this case, the poster may be an ""Amazon Associate.""",53,277,"The above just says "" 'affiliate link'. """,33,310,30,340,1990,Female,"Professional Degree (e.g., MBA, J.D.)","$50,000 to $74,999",14,354
600,6,6,1,5,Yes,Yes,Yes,No,Yes,No,Several Times A Day,Several Times A Day,Never,About Once A Day,About Once A Day,Never,A Few Times A Week,A Few Times A Week,Never,Never,Never,Never,39,45,804314814672700115,10,55,It was a dog bed that looked like a shark.,Neutral,It was not a bad item but I would not buy it.,34,89,Neutral,Somewhat Favors,Somewhat Unlikely,Usually items posted on Pinterest do not have a relationship with the original person.,55,152,,,,16,168,1989,Female,Bachelor's Degree,"$25,000 to $34,999",17,185
601,5,5,5,1,Yes,No,Yes,Yes,Yes,No,About Once A Day,Never,Several Times A Day,Every Few Weeks,Several Times A Day,Never,Less Often,Never,Less Often,Never,Never,Never,40,46,697283954778000593,38,84,It's yellow soap on a tray. There's decorative engraving on the soap. ,Somewhat Positive,The overall design of the soap is very nice. The picture is also well shot and interesting,65,149,Neutral,Moderately Favors,Somewhat Likely,"The item is nice but a bit gaudy for my taste. I think the pin creator has an incentive to have users buy this item. The description provided by the creator was just basic product information and lacked any personal, human quality",99,260,The pin creator receives compensation for sending users to the product through this link,27,287,21,308,1988,Male,Prefer not to answer,"$50,000 to $74,999",13,321
602,23,23,1,2,No,No,Yes,Yes,Yes,No,Every Few Weeks,A Few Times A Week,About Once A Day,Less Often,About Once A Day,Never,Every Few Weeks,Never,Never,Never,Never,Never,49,72,781374604069700266,19,91,Looks like a picture of a brand of bird feed.,Somewhat Positive,It was an interesting packaging. I am not exactly sure what content a pin is supposed to contain or what makes a good or bad one so it is kind of hard to judge.,53,144,Somewhat Negative,Strongly Favors,Somewhat Likely,There doesn't seem to be much of any other reason for someone to advertise a specific product. Maybe they are just a fan of those particular bird pellets.,87,237,,,,118,355,1989,Male,Some College,"$100,000 to $124,999",12,367
603,3,3,4,5,No,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,About Once A Day,Never,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,Never,About Once A Day,About Once A Day,21,24,804314814672700115,51,75,A cute shark themed dog bed where the dog lays inside the shark's mouth. I think it's a very cute design. I'd definitely own one of these if I had a dog of my own.,Extremely Positive,"I didn't really see anything that I could consider negative about this pin. Therefore, I find this extremely positive.",76,151,Extremely Positive,Strongly Favors,Somewhat Likely,I believe that there is somewhat of a relationship between the pin creator and organization selling the item. It was probably done as a way to advertise the product to more people for their dogs.,58,215,This means that the person who created the pin will get a commission for everyone that clicks on his pin and goes to buy this product.,24,239,6,245,1996,Male,High School Graduate,"$50,000 to $74,999",7,253
604,42,42,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Every Few Weeks,Less Often,About Once A Day,Less Often,A Few Times A Week,Less Often,Less Often,Less Often,A Few Times A Week,Less Often,Never,Less Often,52,94,414823815668000016,17,111,They were baby booties and baby converse booties with sparkly gemstones clued to the toe and bottom of the booties. ,Extremely Positive,The booties were very cute. ,53,164,Somewhat Negative,Somewhat Favors,Extremely Unlikely,She is just pointing to some shoes to buy for the baby. ,61,254,It's a link of some shoes. I don't know what affiliate link stands for. ,29,283,56,339,1981,Female,Bachelor's Degree,Prefer not to answer,27,366
605,5,5,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Several Times A Day,About Once A Day,Every Few Weeks,A Few Times A Week,Never,A Few Times A Week,Every Few Weeks,A Few Times A Week,57,62,804314814672700115,8,70,Its a dog bed for small dogs. Its plush and is shaped like a shark. ,Somewhat Positive,"It's a cute bed. Its not overwhelmingly awesome, and only made for small dogs but its a cute idea. ",61,131,Somewhat Positive,Somewhat Favors,Extremely Likely,"they want to make sure people see the price. if it was a consumer they would just want the picture that highlighted the product in the best light. I know if i randomly saw this pop up i wouldnt instantly think ...oh great here are more ads by ""real pintrest people"" i.e. fake people",103,250,it means its an affiliated link. so they get paid when they get clicks on it,29,279,13,292,1975,Male,Associate's Degree,"$75,000 to $99,999",14,306
606,36,36,1,2,Yes,Not Sure,Yes,Yes,Yes,Not Sure,Less Often,Less Often,Less Often,Every Few Weeks,Every Few Weeks,Less Often,Never,Never,Never,Every Few Weeks,Never,Never,50,86,781374604069700266,10,96,This pin appears to be an advertisement for woodpecker bird food. The type of food is suet. ,Neutral,I have no interest in birds or bird feed.,41,137,Neutral,Strongly Favors,Neutral,I don't think that Pins on Pinterest always have a relationship between the pin creator and the item seller. ,64,216,,,,16,232,1978,Male,Bachelor's Degree,"$100,000 to $124,999",16,248
607,52,52,5,2,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,Several Times A Day,Never,Less Often,Less Often,Less Often,Never,47,99,781374604069700266,24,123,It's an ad for wild bird treats.,Neutral,"I don't feed wild birds, although I do have a birdbath.  I'm indifferent to this product.  The ad was colorful and eye-catching, though.",106,229,Extremely Negative,Moderately Favors,Extremely Likely,On the previous page she atated that this is an affiliate link and she gets a commission.,127,372,"She's paid to post the pin, so she's less likely to be objective about the product.",57,429,24,453,1951,Female,Some College,"$25,000 to $34,999",16,469
608,4,4,4,1,No,Yes,Yes,Yes,Yes,No,A Few Times A Week,A Few Times A Week,About Once A Day,Never,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,About Once A Day,Never,A Few Times A Week,Never,47,51,697283954778000593,5,56,There is a piece of yellow soap with some kind of Asian language written on it. The soap sits on a soap holder in a bathroom.,Neutral,"I have no interest in soap, but also no negative thoughts towards the pin.",68,124,Neutral,Slightly Favors,Somewhat Likely,It's obviously the same bathroom and same company producing these pictures.,51,183,There is a mutual advertisement going on where the pin advertises the product and directs you to the place where you can purchase it.,52,235,20,255,1991,Male,Associate's Degree,"$35,000 to $49,999",678,933
609,7,7,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,25,32,781374604069700266,8,40,"It was about bird food, and/or treats.",Somewhat Positive,It looked like a nice product for birds.,23,64,Somewhat Positive,Moderately Favors,Extremely Likely,"I think it could be the pinner enjoying the product, or sharing it for the company to get a percentage from people clicking on their link.",56,131,,,,26,157,1992,Female,High School Graduate,"$25,000 to $34,999",11,168
610,35,35,4,1,Yes,Yes,Yes,Yes,No,No,Several Times A Day,About Once A Day,About Once A Day,A Few Times A Week,A Few Times A Week,Never,Every Few Weeks,Every Few Weeks,Every Few Weeks,A Few Times A Week,Never,Never,40,75,697283954778000593,6,81,Picture of a soap holder,Somewhat Negative,It looks like it might be an ad disguised as a non-commericial pin,30,111,Somewhat Negative,Slightly Favors,Somewhat Likely,"The description said it's an affiliate link so the pin creator is getting paid, and I""m not sure why she would be advertising this particular product unless she's also being compensated by the creator of the product",72,192,The author will get paid if you purchase the product through her link.,18,210,15,225,1981,Female,Bachelor's Degree,"$75,000 to $99,999",10,235
611,18,18,3,1,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Never,Less Often,Every Few Weeks,Several Times A Day,Never,Several Times A Day,Never,Less Often,Never,Never,Never,71,89,697283954778000593,14,103,It is an elaborate soap dish that requires drilling into the tile. It is in a fake medieval style. ,Somewhat Negative,It's just too much for a soap dish. A soap dish shouldn't be a permanent fixture. ,119,222,Somewhat Negative,Moderately Favors,Neutral,It's impossible to say if there is a relationship between the pin creator and the business that sells them. The creator may just like it. ,118,366,You are asking about this:  'affiliate link'. I think you need to fix you survey. ,94,460,47,507,1963,Male,Doctoral Degree,"$25,000 to $34,999",18,525
612,114,114,5,4,No,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,About Once A Day,Never,About Once A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,Less Often,Several Times A Day,114,228,1548181098801468,8,236,It was a gray blanket,Somewhat Positive,Very clean looking,23,259,Somewhat Positive,Somewhat Favors,Extremely Likely,They said they are an affiliate,16,283,"If you click on the link, they get a small portion of the sale if you buy",11,294,12,306,1994,Female,Bachelor's Degree,"$50,000 to $74,999",9,315
613,7,7,5,3,Yes,Yes,Yes,Yes,No,Yes,Several Times A Day,Less Often,Less Often,A Few Times A Week,About Once A Day,Less Often,A Few Times A Week,Less Often,Less Often,Less Often,Never,Less Often,46,53,414823815668000016,11,64,baby shoes with rhinestones,Neutral,not something that i would purchase or use,26,90,Neutral,Moderately Favors,Somewhat Likely,im just assuming,39,143,they make money if i buy via this link,15,158,17,175,1983,Female,Bachelor's Degree,"$50,000 to $74,999",19,195
614,14,14,2,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Several Times A Day,Every Few Weeks,Every Few Weeks,Several Times A Day,Never,Never,A Few Times A Week,35,49,1548181098801468,7,56,It's like a weird throw blanket I think?,Somewhat Negative,I'm not interested in the look of it.,26,82,Neutral,Slightly Favors,Somewhat Likely,One of them probably copied the other.,35,120,"Affiliation link, so they benefit for the purchases.",22,142,24,166,1999,Female,Some College,"$75,000 to $99,999",18,184
615,12,12,2,2,No,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Less Often,Several Times A Day,Never,Several Times A Day,About Once A Day,Several Times A Day,Less Often,Several Times A Day,Never,Several Times A Day,About Once A Day,36,48,781374604069700266,13,61,It was a pin for suet plugs that are related to bird feeding.,Neutral,I know nothing about bird feeding.,35,96,Somewhat Positive,Somewhat Favors,Somewhat Unlikely,It seems to be a random item for somebody to try to promote.,42,143,It seems like a technical error or a mistake in coding the link.,28,171,17,188,1990,Male,"Professional Degree (e.g., MBA, J.D.)","$25,000 to $34,999",11,199
616,29,29,2,2,Yes,No,Yes,Yes,Yes,No,A Few Times A Week,Never,Less Often,Every Few Weeks,A Few Times A Week,Never,Every Few Weeks,Never,Never,Never,Never,Never,70,100,781374604069700266,33,133,Woodpecker Treats.  It was some type of energy beverage.,Somewhat Positive,It was an attractive post that grabbed my attention.,66,199,Somewhat Positive,Strongly Favors,Extremely Likely,I feel the pin creator and the organization selling the item probably have a very close relationship.  ,91,313,Not sure but it may mean affiliated link which would take the consumer to the organization that manufactures the item being advertised.,77,391,28,419,1965,Male,Master's Degree,"$100,000 to $124,999",14,433
617,3,3,4,2,Yes,Yes,Yes,No,Yes,Yes,Several Times A Day,Several Times A Day,Never,About Once A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,Every Few Weeks,Never,A Few Times A Week,29,33,781374604069700266,11,44,a woodpecker treat photograph / design,Somewhat Positive,It was categorized under pets which is relevant and found the design to be dynamic and very animated which is normally very appealing on pinterest ,41,85,Somewhat Positive,Strongly Favors,Extremely Likely,this looks like the woodpecker treat sponsored the person to post this because it directly links to their product - there was no personal accolade of the product and looks like it was simply a sponsorship ,67,157,"It means that every time someone buys the product under the link, the person who has posted gets a commission out of each purchase ",24,181,12,193,1993,Female,Bachelor's Degree,"$50,000 to $74,999",10,203
618,7,7,1,2,Yes,No,Yes,No,No,No,Several Times A Day,Never,Never,Every Few Weeks,A Few Times A Week,Never,Less Often,Never,Never,Never,Never,Never,57,64,781374604069700266,12,77,It was a product for woodpeckers,Somewhat Positive,The product was for animals and I love animals,38,115,Somewhat Positive,Strongly Favors,Neutral,There may or may not be a relationship between the 2,54,175,,,,14,189,1962,Female,High School Graduate,"$75,000 to $99,999",15,204
619,8,8,1,4,Yes,Yes,Yes,No,No,No,Several Times A Day,A Few Times A Week,Never,A Few Times A Week,Every Few Weeks,Never,About Once A Day,Every Few Weeks,Never,Every Few Weeks,Never,Never,41,49,1548181098801468,7,56,It was a lady holding up a blue and white striped blanket. It was posted by a user called Colleen Connely.,Neutral,"It was a nice blanket, but not particularly impressive.",51,107,Somewhat Positive,Moderately Favors,Neutral,"I prefer the ladder presentation, but this looks like it could be a stock photo of the blanket.  I'm not sure the pin creator took the photo.",65,179,,,,16,195,1981,Female,Bachelor's Degree,"$150,000 or more",13,208
620,29,29,5,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,A Few Times A Week,Several Times A Day,A Few Times A Week,About Once A Day,Never,A Few Times A Week,A Few Times A Week,Every Few Weeks,A Few Times A Week,Less Often,Never,136,165,1548181098801468,37,202,It was a rustic linen blanket. It looked like a pretty regular blanket except it used organic cotton.,Neutral,"I was neutral about it. I wouldn't be interested in clicking on it. It looked decent, but it just didn't stand out much for me.",237,439,Somewhat Negative,Does Not Favor At All,Extremely Likely,"It was an affiliate link, so I assume the person who posted it gets a small commission. They don't care about the blanket or anyone's thoughts, they just want to earn money.",102,578,It means that the person who posted it is wanting to make money from the post. They don't care to help anyone out.,105,684,54,738,1976,Male,Some College,"Less than $25,000",18,756
621,13,13,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,Several Times A Day,Every Few Weeks,Every Few Weeks,Several Times A Day,Less Often,Never,About Once A Day,82,95,1548181098801468,27,122,"It was pin of an ugly blanket and it said ""for the home"".",Neutral,I just think the blanket is harmless but very ugly.,148,270,Somewhat Negative,Moderately Favors,Somewhat Likely,I don't really like the blanket but the poster seems to. ,708,1041,That the poster is posting it to make money. ,43,1084,20,1104,1990,Female,Bachelor's Degree,"$125,000 to $149,999",18,1122
622,26,26,1,4,Yes,Yes,No,Yes,Yes,Yes,Never,Several Times A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,Less Often,Never,Less Often,Less Often,Less Often,Never,Less Often,426,452,1548181098801468,23,475,"it was a picture of a person holding up a grey blanket with the caption: ""for the home""",Neutral,"it was okay, but i didn't like the blanket, so that might be affecting my opinion",127,602,Neutral,Somewhat Favors,Neutral,"At first, I thought unlikely but the more I considered it, the more it seemed more plausible",188,812,,,,110,922,1983,Female,High School Graduate,"$25,000 to $34,999",34,956
623,552,552,1,2,No,Yes,Yes,Yes,Yes,No,Every Few Weeks,A Few Times A Week,A Few Times A Week,About Once A Day,About Once A Day,Every Few Weeks,A Few Times A Week,About Once A Day,A Few Times A Week,Every Few Weeks,About Once A Day,A Few Times A Week,18,570,781374604069700266,3,573,Bird feeding stuff.,Somewhat Positive,I guess it is nutritious.,20,593,Somewhat Positive,Somewhat Favors,Neutral,I am not very informed.,19,614,,,,4,618,1951,Male,Bachelor's Degree,"$75,000 to $99,999",21,639
624,21,21,1,5,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,A Few Times A Week,Every Few Weeks,A Few Times A Week,Never,Every Few Weeks,Less Often,Less Often,Every Few Weeks,Never,Never,63,84,804314814672700115,13,97,it was for a dog bed that looks like a shark,Somewhat Positive,I love dogs and I think the dog bed that looks like a shark is cute,39,136,Somewhat Positive,Somewhat Favors,Neutral,I really couldn't say I don't know what any of their other pins are,64,225,,,,50,275,1985,Female,Some College,"$25,000 to $34,999",22,297
625,8,8,4,4,Yes,No,Yes,No,Yes,No,A Few Times A Week,Never,Never,A Few Times A Week,Every Few Weeks,Never,Every Few Weeks,Never,Never,A Few Times A Week,Never,Never,73,81,1548181098801468,13,94,Seems to be a woman holding up a large towel or blanket of blue and white.  All you see is her feet and here hands.  It's unclear why she's doing this.,Somewhat Negative,Not sure what is going on and what it is she is showing me and what she wants me to do about it.,66,160,Neutral,Slightly Favors,Extremely Likely,Because it is stated that she is working on commission for the company.,47,219,The one pinning gets money when this item is sold as she works on commission for them.,26,245,23,268,1951,Female,Master's Degree,"$50,000 to $74,999",23,291
626,11,11,5,2,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Every Few Weeks,Several Times A Day,Several Times A Day,A Few Times A Week,Every Few Weeks,Several Times A Day,Less Often,Never,A Few Times A Week,43,54,781374604069700266,9,63,The pin I just observed was for bird feed. The packaging look like it had corks on it.,Neutral,I don't have birds or have the need to buy bird feed,49,112,Somewhat Positive,Somewhat Favors,Neutral,The pin creator probably just liked the item or wanted to try it out in the future after hearing good things about the item.,60,183,The pin poster has teamed up with the seller of the product and the pin poster makes a small commission for each sale through the given link.,52,235,17,252,1999,Female,Some College,"$50,000 to $74,999",16,268
627,24,24,2,3,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,A Few Times A Week,About Once A Day,About Once A Day,Never,A Few Times A Week,A Few Times A Week,Less Often,Every Few Weeks,Less Often,Never,63,87,414823815668000016,28,115,It's a pin most likely designed by a young stay at home mom.  The pin has infant shoes that appear to be hand decorated.  ,Neutral,The photo did not jump out and impress me.  The shoes are cute but the pin did not hold my interest. ,133,248,Somewhat Negative,Somewhat Favors,Somewhat Likely,The person who made up the pin with the decorated shoes could receive compensation if someone buys the shoes in this organization. ,135,409,I believe it means the link is affiliated with other shoe websites.  ,99,508,21,529,1957,Female,Some College,"$75,000 to $99,999",17,546
628,6,6,2,3,Yes,Yes,No,No,Yes,Yes,Never,A Few Times A Week,Less Often,A Few Times A Week,About Once A Day,About Once A Day,Never,Every Few Weeks,Never,A Few Times A Week,Less Often,About Once A Day,33,39,414823815668000016,3,42,Error: I did not see a pin?,Neutral,See above,36,78,Somewhat Positive,Moderately Favors,Somewhat Unlikely,Seems like a genuine response and not a paid response,43,131,I think it might mean affiliate? So affiliate marketing perhaps. I couldn't think of what it meant at first,50,181,30,211,1995,Male,Bachelor's Degree,"$25,000 to $34,999",23,234
629,10,10,2,3,Yes,No,Yes,No,Yes,No,A Few Times A Week,Every Few Weeks,About Once A Day,Every Few Weeks,About Once A Day,Every Few Weeks,Never,Never,Never,Never,Never,Never,59,69,414823815668000016,31,100,Four pictures of baby shoes from Breamy Girls.,Somewhat Positive,"I'm not interested in the subject matter of the pin, but the overall impression was nice.",147,247,Neutral,Strongly Favors,Extremely Likely,"I'm not sure, but does ""aff"" mean affiliate? If it does, then obviously there is some relationship there.",159,450,It means that the person posting the pin will receive remuneration for traffic and sales that result from that pin.,170,620,58,678,1953,Male,Some College,"$25,000 to $34,999",17,695
630,21,21,2,2,Yes,No,Yes,No,No,No,Every Few Weeks,Never,Never,A Few Times A Week,About Once A Day,Never,Less Often,Never,Never,Every Few Weeks,Never,Never,62,83,781374604069700266,45,128,"This is for suet, a type of wild bird feed. These were pellets that were for all types of birds. The person pinned it under the heading pets. ",Neutral,"I'm not very interested in birds as pets. If I saw this on Pinterest, I would keep scrolling. ",112,240,Somewhat Positive,Moderately Favors,Somewhat Unlikely,I think this is just a person who likes birds. ,72,328,I think this means it will take you off the Pinterest app and to another site. ,31,359,40,399,1977,Female,Master's Degree,"$100,000 to $124,999",35,434
631,29,29,5,1,Yes,Not Sure,Yes,No,Yes,Not Sure,A Few Times A Week,Never,Never,A Few Times A Week,Several Times A Day,Never,Every Few Weeks,Never,Never,A Few Times A Week,A Few Times A Week,Never,120,149,697283954778000593,15,164,nice looking metal decoration for bathroom,Extremely Positive,look very nice  and unique pleasant colors,86,250,Somewhat Positive,Strongly Favors,Extremely Likely,its look like pin creator main motivation was sell that item,82,357,mean person  motivation sell this item and make comission from every sale,59,417,38,455,1973,Female,Master's Degree,"$50,000 to $74,999",22,477
632,56,56,3,5,Yes,No,Yes,No,No,No,Several Times A Day,Never,Never,Several Times A Day,Never,Never,Every Few Weeks,Never,Never,Never,Never,Never,45,101,804314814672700115,13,114,Its a dog bed that looks like a shark. The dog can crawl in it and feel safe and secure.,Extremely Positive,"I have 2 dogs, one of which I think would love this sort of thing because she loves to be tunneled in blankets and snugly covered up.",80,194,Somewhat Positive,Strongly Favors,Neutral,I'm guessing it's one of those affiliate sort of things where if someone clicks through to the product the pin creator would get a monetary reward.,84,302,It means it's an affiliate link. Like advertising.,30,332,32,364,1971,Female,High School Graduate,"$35,000 to $49,999",20,384
633,183,183,1,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Every Few Weeks,Every Few Weeks,A Few Times A Week,Less Often,A Few Times A Week,A Few Times A Week,Less Often,Never,Less Often,Never,82,265,1548181098801468,16,281,It looked like a tablecloth.  It was held by a woman (a guess).  The holder did not show him/herself.,Somewhat Negative,There was no attempt to provide a human interaction.,62,343,Somewhat Positive,Moderately Favors,Somewhat Likely,The item is now shown in a more favorable way.,37,393,,,,25,418,1965,Male,Master's Degree,"$25,000 to $34,999",46,464
634,43,43,1,3,Yes,No,Yes,No,Yes,No,About Once A Day,Never,Never,Never,A Few Times A Week,Never,Less Often,Never,Never,Never,Never,Never,96,139,414823815668000016,36,175,I think they were so cute and adorable for a baby's feet.,Extremely Positive,I liked it. I was just loving how cute the little baby shoes were,153,328,Extremely Positive,Strongly Favors,Somewhat Likely,Well I'm not sure if there is relationship between the two but I think there is a very high chance there is because of the positive response to the products,150,534,,,,109,643,1976,Female,Associate's Degree,"$35,000 to $49,999",29,672
635,45,45,4,3,No,No,No,No,Not Sure,No,Less Often,Never,Less Often,Less Often,Every Few Weeks,Never,Never,Never,Never,Never,Never,Never,74,119,414823815668000016,41,160,"probably some of the cutest shoes for a baby girl I have ever seen! Even has sparkles on the bottom of the shoes, so cute:)",Extremely Positive,Baby shoes are just so adorable. This pink sparkly shoes take the cake.,147,307,Somewhat Positive,Strongly Favors,Extremely Likely,She said she gets paid a commission right in the post!,83,429,"If I click the link from her post and buy a pair of shoes, she will make a commission on it.",83,512,34,546,1970,Male,Associate's Degree,"$25,000 to $34,999",18,564
636,5,5,1,5,No,No,No,No,Yes,No,Never,Never,Less Often,Never,A Few Times A Week,Never,Never,Never,Never,Never,Never,Never,33,38,804314814672700115,5,43,"It was a shark dog bed, where the mouth of the shark is like a cave for a small dog. ",Somewhat Positive,It is cute and practical. ,49,92,Somewhat Positive,Moderately Favors,Neutral,there is no way to tell if the creator is a part of the seller organization or not. ,49,146,,,,11,157,1991,Male,High School Graduate,"Less than $25,000",20,177
637,5,5,2,1,Yes,No,Yes,Yes,Yes,No,A Few Times A Week,Never,Several Times A Day,A Few Times A Week,A Few Times A Week,Never,Every Few Weeks,Never,Every Few Weeks,Less Often,Never,Never,63,68,697283954778000593,9,77,A homemade metallic soap holder for the shower.,Somewhat Positive,It seems like a neat idea but I'd have to see a more zoomed out picture.,31,108,Neutral,Moderately Favors,Extremely Likely,"Given that it links directly to a store, the pin creator is likely to have some sort of benefit to selling the item, whether it is through some sort of Amazon affiliate program or being the seller itself.",68,187,"Affiliate link, as in some sort of advertisement or a link to the Amazon affiliate program so the linker gets a benefit from somebody purchasing the item.",34,221,15,236,1981,Male,Bachelor's Degree,"$25,000 to $34,999",13,249
638,10,10,5,2,Yes,Yes,Yes,Yes,No,No,Several Times A Day,Several Times A Day,A Few Times A Week,Every Few Weeks,Less Often,Never,A Few Times A Week,A Few Times A Week,Every Few Weeks,Every Few Weeks,Never,Never,45,55,781374604069700266,17,72,It looks like it's designed to feed woodpeckers.  It is a high energy feed.,Somewhat Negative,This looks like an overmade product that doesn't meet an actual need.,54,126,Extremely Negative,Strongly Favors,Extremely Likely,The poster's description discloses that she is compensated for sales of the item that she pinned.,47,190,"The poster is not posting it because she is interested in it, she's posting it because she'll get paid if people click on her Pin and then buy the product.",45,235,29,264,1980,Female,Bachelor's Degree,"$125,000 to $149,999",15,279
