workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Video,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,VideoId,player_actions,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the video you just watched.",What is your overall impression of the video?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,Time_spent_page_description,Time_spent_survey_description,"After watching the video, what is your overall impression of the item shown in the image above?",How much do you think the video creator favors the item shown in the image above?,How likely do you think there is a relationship between the video creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the video you watched states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
829,9,9,1,1,Yes,No,Yes,No,Yes,Yes,Several Times A Day,Never,Never,Every Few Weeks,Several Times A Day,A Few Times A Week,A Few Times A Week,Never,Never,Every Few Weeks,Less Often,Less Often,60,69,DQktwMexxE0,Start|0;-1|0;3|0;1|0.002000093460083008;3|3.767349;1|3.767349;3|3.767349;1|3.814499927520752;0|217.081;,238,307,"It was about a cat watching and interacting with a Furby, which was apparently a Japanese speaking version.  It seemed to be annoyed by it at times and also very curious.  The cat even got somewhat upset when the owner put it away, though.",Somewhat Positive,"It was amusing to watch, and I could identify with it because I have a cat and I could imagine my cat reacting in a similar manner.",104,411,22,433,Neutral,Moderately Favors,Somewhat Likely,"I think that it is quite possible that the content creator is sponsored by the cat food company, considering that the product is linked to in the description.  However, there may very well not be a direct financial connection between the two so I did not want to say extremely likely.",88,521,,,,37,558,1987,Male,Master's Degree,"$75,000 to $99,999",15,573
830,234,234,5,3,Yes,No,Yes,No,Yes,No,Several Times A Day,Never,Never,Several Times A Day,A Few Times A Week,Never,Several Times A Day,Never,Never,Every Few Weeks,Never,Never,92,326,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.015000104904174805;0|213.18166666666667;,382,709,It was showing hotels in Denmark. I guess you can subscribe to the channel and find a hotel in Denmark if need be. ,Somewhat Positive,There was nothing that I could see or feel that was negative. Just showing hotels,171,880,60,940,Somewhat Positive,Strongly Favors,Somewhat Likely,I am sure they are getting something out of the deal for putting this together.,83,1023,That the person making the video is trying to make some money,69,1092,40,1132,1968,Female,Some College,"$75,000 to $99,999",27,1159
831,4,4,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Less Often,Less Often,Several Times A Day,Every Few Weeks,About Once A Day,Never,Never,Never,Every Few Weeks,Less Often,Never,Never,59,63,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0009999275207519531;0|220.721;,236,299,"In a first person perspective, a guy gave an overview of a portable-sized record player he had purchased. He covered its features in depth, and showed it from different angles, and explained its functionality. He talked a little about what he liked about, as well as some complaints.",Somewhat Negative,"Nothing about the video was that bad, but I could have read all that info in less than a minute, instead of watching a video that took almost four. When it comes to information about a product, I don't need a tour of every little detail about the thing; I'd much rather read the information. There were some shots in the video where he seemed to take a little bit to get to the angle he wanted; it was very clearly filmed on a handheld camera and not edited in any way to make it shorter, which it definitely could have been. I just found it boring.",174,473,9,482,Somewhat Positive,Somewhat Favors,Neutral,"Affiliate links can be used for lots of reasons; if he is linking to the product to purchase it, he might be getting a cut, but that doesn't necessarily mean he was paid to give a positive review. The record player seems pretty nice; I'd give it a try. So I would assume, in good faith, that perhaps he uses affiliate links to get a cut off of people that take his recommendations, but that the recommendations are genuine.",64,546,"That would mean to me that if I click an Amazon link from his review to purchase the product, he would get a portion of that sale, or some sort of bonus from the company, for helping to make that sale.",30,576,16,592,1991,Female,Some College,"$25,000 to $34,999",11,603
832,13,13,4,3,Yes,Yes,Yes,No,Yes,Yes,Several Times A Day,Several Times A Day,Never,About Once A Day,Several Times A Day,Several Times A Day,Every Few Weeks,Every Few Weeks,Never,Less Often,Never,Less Often,70,83,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.02069302098083496;0|213.145191;,288,371,It was about a hotel.,Somewhat Negative,Didn't seem profesional,50,421,4,425,Somewhat Positive,Moderately Favors,Neutral,I'm not sure,68,493,Advertisement ,14,507,13,520,1995,Female,Some College,"Less than $25,000",10,530
833,11,11,1,4,Yes,Yes,Yes,No,Yes,Yes,Several Times A Day,About Once A Day,Never,About Once A Day,About Once A Day,About Once A Day,Every Few Weeks,Several Times A Day,Never,Every Few Weeks,About Once A Day,Less Often,84,95,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.022015855041503905;,172,267,There were several deffernt scences from airial overheads of aa beautuful water fall to dash cam videis if city scenes and driving on the road.,Somewhat Positive,The scenery that was used was beautuful to look at and unlike what i have seen before.,121,388,11,399,Somewhat Positive,Somewhat Favors,Somewhat Likely,It would seem logical that the camera adversited might be what was used to film the video shown.,110,509,,,,30,539,1976,Female,Bachelor's Degree,"$50,000 to $74,999",19,558
834,15,15,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,A Few Times A Week,Never,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,Less Often,Never,Never,Every Few Weeks,28,43,DQktwMexxE0,Start|0;-1|0;3|0;1|0.010946969482421874;0|217.081;,225,268,A cat (Maro) interacts with its owner's Furby toys. The cat is curious about the toy but not overly so.,Somewhat Positive,"I love cats, and the video was cute. I wish there was more action in the video; since there wasn't any, I would have preferred the video to be shorter.",57,325,15,340,Neutral,Slightly Favors,Extremely Likely,"Everyone has sponsored posts and links nowadays. I don't ever trust that a link isn't an ad unless the person specifically says so (and even then, not always).",44,384,,,,14,398,1990,Female,Master's Degree,"$25,000 to $34,999",12,410
835,19,19,3,3,No,Yes,Yes,No,No,Yes,Several Times A Day,About Once A Day,Never,Never,Every Few Weeks,Several Times A Day,Less Often,Less Often,Never,Never,Never,Every Few Weeks,42,61,jtiP-cKE16U,Start|0;-1|0;3|0;1|0;0|213.141;,220,281,A photo montage of hotels set to the Christmas song Deck the Halls,Somewhat Negative,"There was nothing interesting about the video. If I had been a traditional viewer, I would have probably stopped watching after thirty seconds due to the repetitiveness of the song and photos. Moreover, the song repeated at the end, when you really should have chosen a new song to keep the viewer engaged.",113,394,14,408,Somewhat Positive,Strongly Favors,Extremely Likely,Photos of the nature shown above appeared multiple times in the video.,49,457,The advertiser's links may be present in the video.,60,517,39,556,1967,Female,Bachelor's Degree,"$150,000 or more",33,589
836,12,12,1,4,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,About Once A Day,Never,Every Few Weeks,Never,Less Often,Never,Never,Never,52,64,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.007999897003173828;2|36.543778;1|36.597254855041506;,194,258,"I saw a really cool video filmed using a drone and dash cam of Iceland. The video looked very professional. It was sped up really fast so you got to see a lot of landscape in a short period of time, from water falls to the city to the countryside",Extremely Positive,"The quality was really good, the music went well with the video and I enjoyed watching it. It made me feel like it was a place I really want to visit in my lifetime.",169,427,33,460,Extremely Positive,Strongly Favors,Somewhat Likely,It didn't cross my mind until the question was asked but maybe that's why the video was made because the creator wanted to show what the item is capable of doing. I'm not totally confident of that though so that's why I chose somewhat likely,141,601,,,,39,640,1966,Female,Associate's Degree,"$50,000 to $74,999",21,661
837,22,22,4,5,Yes,No,Yes,Yes,Not Sure,No,Several Times A Day,Never,Less Often,Every Few Weeks,Every Few Weeks,Never,Every Few Weeks,Never,Never,Less Often,Never,Never,46,69,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0009999275207519531;0|220.721;,243,312,the video was a review of a crosley record player.  It spoke about how it was suitcase size.  This one was orange but comes in other  colors too. ,Somewhat Positive,The guy seemed genuine and gave an honest review of what he thought of the record player.  He gave both the good and the bad.  ,100,412,32,444,Somewhat Positive,Somewhat Favors,Somewhat Unlikely,"it is listed on amazon, so I doubt the creator has a relationship with amazon, other than getting a little perk from any sales.  Also, I don't think he would have mentioned any of the things he didn't like it that were true.  He would have spoken only the positive aspects.",129,573,"it means if you buy the product from that link, the owner of the you tube video receives a little bit of money.",51,624,35,659,1970,Female,Bachelor's Degree,"$75,000 to $99,999",21,680
838,3,3,4,3,Yes,No,Yes,No,Yes,No,About Once A Day,Never,Never,About Once A Day,About Once A Day,Never,Less Often,Never,Never,Never,Never,Never,61,64,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0013299275207519531;,178,242,It was for Hotelz.com and it highlighted different resorts and the amenities within them,Somewhat Positive,The music was weird and I could really tell what place the hotel was from.  ,89,331,123,454,Somewhat Positive,Slightly Favors,Neutral,"Im not sure if this is the same place, I would need to see more to answer the questions.  ",187,641,It means I would get something in return for clicking on the link.  ,85,726,74,800,1981,Female,Bachelor's Degree,"$50,000 to $74,999",20,820
839,11,11,4,4,Not Sure,No,Yes,Yes,Yes,No,Every Few Weeks,A Few Times A Week,About Once A Day,Every Few Weeks,Several Times A Day,Never,Never,Never,Every Few Weeks,Less Often,Every Few Weeks,Never,49,60,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0;,188,248,"The video was footage taken from a car's dash cam and a drone of Iceland scenery. The scenery contained mountains, waterfalls, cloudy weather and green fields.",Somewhat Positive,The video is never something i would choose to watch on my own but that is not to say I disliked it. It was interesting to see a country I have little experience with.,128,376,17,393,Extremely Positive,Somewhat Favors,Somewhat Likely,The creator has affiliate links which leads me to believe the whole video was sponsored in some way. I don't really think a thousand dollar drone was given to them but it may be possible.,109,502,The statement means when someone that has seen the video uses the link to purchase the item used the creator gets a small fee. The affiliate program itself may or may not be easy to join. The creator most likely would consider the commission as a bonus to the views of the video.,112,614,21,635,1995,Male,Some College,"Less than $25,000",14,649
840,15,15,5,5,No,No,Yes,Yes,Yes,No,Every Few Weeks,Never,A Few Times A Week,Never,Several Times A Day,Never,Never,Never,Never,Never,Less Often,Never,62,77,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.001;,193,270,This person is giving his opinion about a record player he purchased. He thinks its good. ,Somewhat Positive,This record player review looks honest and genuine.,92,362,18,380,Neutral,Moderately Favors,Somewhat Likely,He stated that a portion of people that click this link and by the product goes to him.,99,479,This person is partnered with the product.,27,506,24,530,1992,Male,High School Graduate,"$35,000 to $49,999",21,551
841,9,9,2,5,No,No,Yes,Yes,No,No,Several Times A Day,Never,About Once A Day,Never,Never,Never,Several Times A Day,Never,About Once A Day,Never,Never,Never,93,102,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0;0|220.721;,263,365,"It is a portable record player that shaped like a suitcase, and can fold up like a suitcase. The reviewer's name is Jordan, and he chose an orange one.",Extremely Positive,I thought it was a very positive video because of how much information the reviewer gave. I like how it was very easy to understand the functions and was easy to watch.,151,516,26,542,Somewhat Positive,Strongly Favors,Extremely Unlikely,I don't think there is any relationship because the video creator did say something negative about the item. If there was a relationship then I think the whole review would be all positive.,128,670,It means there is a link to the item that is in the video.,61,731,59,790,1977,Male,Associate's Degree,"$50,000 to $74,999",24,814
842,31,31,7,3,No,Yes,Yes,No,No,No,Several Times A Day,A Few Times A Week,Never,Never,Never,Never,A Few Times A Week,Every Few Weeks,Never,Never,Never,Never,112,143,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.006000041961669922;0|213.159182;,253,396,its about a hotel spa in morthern europe called comwell hotelz.the room the ammenities of them,Extremely Positive,"was very clean and clear what this place offered,very upscale place to relax at",122,519,63,582,Extremely Positive,Strongly Favors,Extremely Likely,this is a great place to book for a vacation,128,710,keep you focused on the hotel that they would love you to book and not go away from their webpage,75,785,27,812,1951,Male,Associate's Degree,"$50,000 to $74,999",21,833
843,17,17,4,3,No,No,Yes,No,Yes,No,About Once A Day,Never,Less Often,Less Often,A Few Times A Week,Never,Less Often,Never,Never,Never,A Few Times A Week,Never,89,106,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0009999275207519531;2|13.237207792207792;3|13.237207792207792;1|13.239207093460083;2|10.861298701298702;3|10.861298701298702;1|10.869323927520751;2|96.654864;1|96.6568728550415;2|112.091997;1|112.09400909346009;0|213.121;,660,766,It shows a beautiful hotel with deck the halls playing in the background.,Extremely Positive,It really put me in a festive spirit and made me ready for a holiday.,49,815,16,831,Extremely Positive,Strongly Favors,Extremely Likely,They're promoting the same place and it looks awesome.,43,874,It means that the content may be biased as there is compensation to promote a product.,35,909,9,918,1984,Male,Bachelor's Degree,"$75,000 to $99,999",11,929
844,30,30,4,4,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,Never,Several Times A Day,Every Few Weeks,Several Times A Day,Never,A Few Times A Week,Never,A Few Times A Week,Less Often,Less Often,Never,85,115,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.1778899942779541;0|200.401;,217,332,"It was footage taken in Iceland, mostly by drone. There were overhead shots of a large waterfall, a glacier, and other natural and manmade features.",Somewhat Positive,"It wasn't the best or best edited one of these videos I've seen, but it was fairly good overall and interesting.",96,428,17,445,Somewhat Positive,Somewhat Favors,Somewhat Likely,The description on the video said they were affiliate links,49,494,"The video creator has a relationship with the seller of the item, and gets a commission on sales where he's the referrer. ",55,549,18,567,1986,Male,Bachelor's Degree,"$50,000 to $74,999",20,587
845,9,9,5,4,Yes,No,Yes,Yes,Yes,No,Not Sure,Never,About Once A Day,Never,Several Times A Day,Never,Never,Never,Never,Never,Never,Never,50,59,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.021240855041503907;,187,246,"It was a bunch of drone and dash cam footage of, according to the title, Iceland. Nature shots, not cities. It used time-lapse pretty often. It was cool.",Somewhat Positive,"I like looking at nature all right, kinda went longer than I'd have liked, but that's on my ADHD there.",87,333,11,344,Somewhat Positive,Strongly Favors,Somewhat Likely,"He did a sponsored link, he must have been paid a bit for that.",36,380,"It means those links are affiliate links, which means if you click on one of them the video creator will receive a small commission. It's pretty self explanatory, really.",49,429,21,450,1987,Male,Bachelor's Degree,"Less than $25,000",20,470
846,5,5,7,3,No,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,Never,Less Often,About Once A Day,Less Often,Every Few Weeks,Every Few Weeks,Never,Never,Never,Less Often,43,48,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0009999275207519531;0|213.145191;,223,271,It was an ad for a hotel-finding website. It was specifically focused on one hotel. There was a Christmas song playing over multiple stills of the hotel.,Neutral,"I enjoyed the hotel itself, although some of the images seemed like they could be from any hotel, not specifically the one they were advertising. The video itself was about a minute too long. Also, the song was off-putting and did not fit the visuals.",153,424,32,456,Somewhat Positive,Strongly Favors,Extremely Likely,"There would have to be some sort of relationship, seeing as you can book the hotel through their website. My guess is that money has been exchanged, but given only what I have been shown, I do not have physical evidence to support that assumption.",105,561,The channel gets money when you book using the links provided.,39,600,29,629,1985,Female,Associate's Degree,"$125,000 to $149,999",14,643
847,5,5,6,3,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Never,Every Few Weeks,Less Often,About Once A Day,Never,Every Few Weeks,Never,Less Often,Never,Less Often,Never,54,59,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0009999275207519531;,209,268,It was snapshots of hotels and people enjoying leisure. With christmas music.,Extremely Positive,It looked like a good time.,164,432,76,508,Somewhat Positive,Strongly Favors,Neutral,I don't see why there would need to be a relationship for the creator to like these pictures.,73,581,They have ads linked to those links that pay.,26,607,42,649,1970,Male,High School Graduate,"Less than $25,000",16,665
848,38,38,2,3,Yes,No,Yes,Yes,Yes,No,Never,A Few Times A Week,About Once A Day,Every Few Weeks,Several Times A Day,Never,Never,Never,Less Often,Never,Less Often,Never,90,128,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.002000093460083008;2|132.156313;1|132.23199984550476;,226,354, I suppose it was an advertisement for some Norwegian hotel. Or maybe for some travel site. This is my best guess because the video doesn't really make sense. ,Extremely Negative,"This video was embarrassingly bad. Generic, stock pictures of lord knows what, laid over a Christmas song. No mention of Christmas in the photos, in fact they were obviously taken during warm weather months. No continuity of message, no exposition of the subject matter, just one meaningless, context-free photo after another. Looks like an elementary school student's project.",368,722,29,751,Extremely Negative,Does Not Favor At All,Extremely Unlikely,"What is this supposed to be? Some kind of restaurant? I don't know, and the creator either doesn't know either or doesn't care about explaining it to me.",130,881,Other businesses may have made the mistake of adding their link to this garbage.,65,946,42,988,1970,Male,Bachelor's Degree,"$35,000 to $49,999",31,1019
849,6,6,6,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,A Few Times A Week,Every Few Weeks,Less Often,Never,57,64,DQktwMexxE0,Start|0;-1|0;3|0;1|0.002000093460083008;,176,240,The video was about a cat that was interacting with a couple of ferbies. The cat was very fascinated with them. Even following them and trying to have some sort of contact with them. ,Extremely Positive,"It was innocent, entertaining, funny",78,318,16,334,Neutral,Strongly Favors,Extremely Likely,There has to be some sort of sponsorship deal going on ,48,382,That the channel will get money if people use the links to shop,23,405,24,429,1985,Male,Master's Degree,"$100,000 to $124,999",25,454
850,10,10,3,3,No,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,A Few Times A Week,About Once A Day,Never,About Once A Day,About Once A Day,A Few Times A Week,A Few Times A Week,About Once A Day,Never,Never,About Once A Day,68,78,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0019998550415039062;,173,251,It was about a hotel,Somewhat Positive,It shows how great stay at the hotel would be. ,40,291,8,299,Neutral,Moderately Favors,Somewhat Likely,It looks like a great picture,32,331,The poster receives a fee for someone using the link,58,389,10,399,1991,Male,Bachelor's Degree,"$35,000 to $49,999",15,414
851,6,6,2,2,Yes,No,Yes,Yes,Yes,No,About Once A Day,Never,Less Often,Several Times A Day,About Once A Day,Never,Less Often,Never,Never,Never,Never,Never,38,44,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.023317020980834963;0|204.901;,217,261,"It was an eye makeup demonstration, featuring a palette from Loreal. ",Somewhat Positive,"I think it takes bravery to put yourself out there, and I appreciate anyone willing to share their beauty tips. ",64,325,14,339,Somewhat Positive,Somewhat Favors,Somewhat Likely,"Often, YouTube posters get funding from products sold via links from their videos. ",48,387,Links to sponsors may appear,17,404,15,419,1972,Female,Associate's Degree,"$50,000 to $74,999",11,430
852,29,29,4,3,Yes,No,Yes,No,Yes,No,Several Times A Day,Never,Never,A Few Times A Week,Several Times A Day,Never,Several Times A Day,Never,Never,Never,Less Often,Never,55,84,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.003000020980834961;0|213.121;,227,311,The video was about different hotels around the world. ,Extremely Positive,The music was joyous. It set the mood. The pictures were relaxing and showed people enjoying their activities.,42,353,17,370,Extremely Positive,Strongly Favors,Somewhat Likely,No one is going to randomly make a video about items they have no interest in or relationship to. ,59,429,It means someone has attached a link that sells something for their business or someone has placed a link on the video because they get paid to bring people to a specific website.,50,479,12,491,1980,Female,Bachelor's Degree,"$100,000 to $124,999",44,535
853,18,18,2,5,Yes,Yes,Yes,No,Yes,Yes,A Few Times A Week,A Few Times A Week,Never,Several Times A Day,Several Times A Day,About Once A Day,Less Often,Less Often,Never,About Once A Day,Every Few Weeks,About Once A Day,50,68,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.019999980926513672;2|132.535681;3|132.617785;1|132.86559789700317;2|148.654886;3|148.720678;1|148.93782407629394;2|164.77409;3|164.77509;1|164.80409010490416;2|175.878431;3|175.965348;1|176.13032698283385;2|187.340977;3|187.340977;1|187.5421649294281;2|198.803522;3|198.83623;1|198.9733971373291;2|214.564522;3|214.638564;1|214.9335009256134;2|218.504772;3|218.520772;1|218.63064687792968;0|220.721;,174,242,The person was telling about the turn table he had which was small and mobile and orange. It had felt on the inside. ,Somewhat Positive,"It wasn't a bad video it seemed drawn out, like he couldve ended sooner. ",65,307,13,320,Somewhat Positive,Strongly Favors,Neutral,I think he was just giving a review of the item,50,370,Links to items used or seen are listed,29,399,18,417,1988,Female,Associate's Degree,"Less than $25,000",23,440
854,9,9,5,1,Yes,Yes,Yes,Yes,Yes,Yes,Less Often,Never,Never,Never,Several Times A Day,Less Often,Less Often,Never,Less Often,Never,Every Few Weeks,Never,47,56,DQktwMexxE0,Start|0;-1|0;3|0;1|0.009000062942504883;,173,229,the cat was interested in the furby and was trying to find the furby and see about it,Somewhat Positive,"it is positive because it is also innocent and ""cute"" and people are drawn to that sort of thing that is non human",52,281,14,295,Extremely Positive,Somewhat Favors,Extremely Likely,it is an affiliate link to a amazon ,47,342,nothing,8,350,12,362,1992,Male,Some College,"Less than $25,000",14,376
855,82,82,2,1,Yes,No,Yes,No,Yes,No,About Once A Day,Never,Never,A Few Times A Week,A Few Times A Week,Never,Every Few Weeks,Never,Never,Never,Never,Never,95,177,DQktwMexxE0,Start|0;-1|0;3|0;1|0.003000020980834961;2|167.968903;1|168.15830516593934;0|217.081;,326,503,"A tabby cat is introduces to a furby. At first the cat seems apprehensive, but she warms up quickly to the toy. She even seeks the furby out after it has been put on a shelf. ",Extremely Positive,I thought it was a cute video.,170,673,52,725,Neutral,Somewhat Favors,Somewhat Likely, The cat food company may have played the person who posted the video to post their ad along with it.,150,875,It means there will be ads in the video.,37,912,45,957,1986,Female,Some College,"$35,000 to $49,999",26,983
856,14,14,3,3,Yes,No,Yes,Yes,Yes,No,Less Often,Never,Never,Several Times A Day,Several Times A Day,Never,Never,Never,Never,About Once A Day,Less Often,Never,124,138,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.011984020980834962;0|213.145191;,234,372,It was a slideshow for a hotel in Denmark that had horrific christmas music playing on a loop.,Extremely Negative,Terrible christmas music and the slide show was boring. ,110,482,45,527,Somewhat Negative,Strongly Favors,Extremely Likely,The creator is obviously a business trying to sell bookings at this hotel and others.,90,617,An affiliate link pays a percentage of a users purchase price to the creator of the link that the user clicked on to view the product. ,111,728,32,760,1979,Male,Prefer not to answer,Prefer not to answer,18,778
857,17,17,1,1,No,Yes,Yes,Yes,Yes,No,About Once A Day,About Once A Day,A Few Times A Week,Never,About Once A Day,Never,About Once A Day,About Once A Day,A Few Times A Week,Never,About Once A Day,Never,114,131,DQktwMexxE0,Start|0;-1|0;3|0;1|0.018999814987182617;2|13.617968;1|13.709472927520752;0|217.081;,239,370,It is a very original and entertaining video,Extremely Positive,I really liked this video,91,461,120,581,Somewhat Positive,Slightly Favors,Somewhat Likely,because it's clearly an advertisement,87,668,,,,32,700,1985,Male,"Professional Degree (e.g., MBA, J.D.)","$75,000 to $99,999",26,726
858,7,7,6,3,No,No,Yes,No,No,No,Less Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,52,59,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.002000093460083008;,173,232,it was playing a horrifying christmas song showing photos of a hotel,Extremely Negative,the song makes me extremely emotionally sick and brings back negative memories,56,288,38,326,Extremely Negative,Somewhat Favors,Neutral,i do not imagine that the organization would want a video creator they did not have a good relationship with,92,418,they do not want to be associated with the links,28,446,23,469,1971,Female,Bachelor's Degree,"$25,000 to $34,999",17,486
859,13,13,7,4,No,No,No,No,Yes,No,Every Few Weeks,Less Often,A Few Times A Week,A Few Times A Week,Several Times A Day,Never,Never,Never,Never,Never,Less Often,Never,43,56,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.09203988174438477;0|200.401;,216,272,"It was footage of Iceland by drone and dash cam.  Lots of landscapes were shown.  I saw roads, mountains, etc.",Neutral,"It looked professional, but wasn't very original.",57,329,12,341,Somewhat Positive,Moderately Favors,Extremely Likely,"It was was mentioned, I'm sure they have some business affiliation with the company.",45,386,It means they are trying to get people to buy their products in order to make a profit.,25,411,16,427,1974,Female,Bachelor's Degree,"Less than $25,000",14,441
860,22,22,6,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,A Few Times A Week,Less Often,A Few Times A Week,Never,Every Few Weeks,Every Few Weeks,Less Often,Less Often,Less Often,Never,54,76,DQktwMexxE0,Start|0;-1|0;3|0;1|0.0009999275207519531;0|217.081;,230,306,"A pretty grey and white cat interacting with two toys that move their ears and speak. The cat gets upset when the toy is removed and put on a shelf and the cat, Mario, climbs up on the shelf to check out the toy.",Somewhat Positive,"It was a bit boring and for the first couple of minutes there was an annoying ad right over the video.  It was cute, just a bit long.",157,463,34,497,Neutral,Slightly Favors,Somewhat Unlikely,I think he just picked ads that would fit with the video and that he thought he could earn money from.,55,552,He gets paid if you shop at any of the affiliated places in the links.,25,577,21,598,1975,Female,High School Graduate,"$75,000 to $99,999",18,616
861,26,26,1,3,Yes,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,A Few Times A Week,Several Times A Day,Less Often,Several Times A Day,About Once A Day,Less Often,Every Few Weeks,Several Times A Day,About Once A Day,Less Often,Every Few Weeks,54,81,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.011999845504760742;2|180.60363636363638;3|180.60363636363638;1|180.61591216593933;,200,281,"It was about the Comewell hotel. It showed various pictures of their landscape, castle like buildings, and what services they offer (yoga, swimming).",Neutral,I was amazed by the outside of the building as it looked like a castle... then they showed the interior and i really wasn't impressed...,92,373,20,393,Neutral,Does Not Favor At All,Extremely Likely,They both showed images from the video. This image appeared in the video and it's website for booking. It also bears the same name,66,459,,,,27,486,1995,Female,Bachelor's Degree,"$25,000 to $34,999",22,508
862,67,67,2,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Less Often,Less Often,Every Few Weeks,A Few Times A Week,Never,A Few Times A Week,Never,Less Often,Less Often,Less Often,Never,103,170,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.004999876022338867;,234,404,I watched a video of Iceland.  It was filmed by drone and by a vehicle's dashcam.  It showed a lot of scenery...water and landscapes.  The dashcam gave a fast view of driving down the road and over bridges. A lot of nature scenes. ,Somewhat Positive,"I like nature, so the drone view of the landscape, beaches, and waterfalls were very beautiful to me.  The dashcam scenes were a little fast for me, and didn't provide enough of a view, but they were still interesting.  ",287,691,38,729,Extremely Positive,Strongly Favors,Extremely Likely,The creator of the video is likely being paid to have the link in the description...or at least paid for clicks to the drone page.  Hopefully he used the drone to film the video.  ,160,889,I think it means that the person who posted the link is paid for every person who clicks on the link. ,140,1029,64,1093,1969,Female,Associate's Degree,"$35,000 to $49,999",22,1115
